Site,Date,Location,Fishpond,Mangrove,Latitude,Longitude,polychaete,barnacle,copepod,monstrillidae,para.cope,amphipod,cumacean,Lucifer,shrimp,megalopa1,megalopa2,megalopa.oth,zoea,postlarval.crab,lobster,isopod,mysid,mantis.shrimp,ostracod,cephalopod,fish,hydropoids,jellyfish,bivalve,gastropod,nematode,leech,nauplius,Night,mangrove.shoreline,non.mangrove.shoreline,percent.mangrove.shoreline,pond.area,d13C,C,d15N,N,relief,percent.trees,precip,percent.impervious,percent.developed
UL,6.10.15,PM,yes,yes,21.059965,-156.832522,1,0,195,6,1,31,0,12,304,3,0,0,0,0,0,5,10,0,0,0,0,0,0,0,1,0,0,0,5,498.78,436.65,0.533209326,63430.22,-28.46,1477.175,1.82,40.47,2060,14,50.3,2.32,15.4
UL,6.10.15,PO,yes,no,21.058275,-156.832683,1,0,682,23,0,128,8,261,3,57,31,0,73,0,2,5,0,1,1,0,20,0,0,0,0,0,0,0,5,498.78,436.65,0.533209326,63430.22,-28.46,1477.175,1.82,40.47,2060,14,50.3,2.32,15.4
NP,6.11.15,PM,yes,yes,21.067084,-156.816665,0,0,680,3,1,23,0,0,9,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,1,0,6,1063.07,437.15,0.708609404,135201.09,-29.94,1518.005,3.19,41.235,2140,6,55.3,0.59,3.56
NP,6.11.15,PO,yes,no,21.065133,-156.81635,0,0,558,6,0,7,0,2,2,4,0,0,1,0,0,14,0,0,2,0,0,0,0,0,0,0,0,0,6,1063.07,437.15,0.708609404,135201.09,-29.94,1518.005,3.19,41.235,2140,6,55.3,0.59,3.56
KE,6.12.15,PM,yes,yes,21.077667,-157.000767,1,0,356,0,0,0,15,0,19,2,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,7,748.6,402.46,0.650357062,127772.52,-29.945,1332.315,2.895,29.27,437,4,19.2,7.25,36.6
KE,6.12.15,PO,yes,no,21.077567,-157.00195,0,0,1310,0,0,5,10,0,16,0,2,1,11,0,6,0,0,5,0,0,1,0,0,0,0,0,0,0,7,748.6,402.46,0.650357062,127772.52,-29.945,1332.315,2.895,29.27,437,4,19.2,7.25,36.6
AL,6.12.15,PM,yes,yes,21.070133,-156.979733,1,0,3906,16,0,27,140,1,22,5,0,0,7,0,13,104,1,4,1,0,3,0,0,0,0,0,0,1,7,477.6,550.85,0.464388157,99417.14,-28.475,1318.065,3.075,36.31,2270,3,30.9,0.67,4.67
AL,6.12.15,PO,yes,no,21.0715,-156.981567,1,1,6938,0,0,1,13,1,18,0,1,0,5,0,1,12,1,3,0,0,1,0,0,0,0,0,0,0,7,477.6,550.85,0.464388157,99417.14,-28.475,1318.065,3.075,36.31,2270,3,30.9,0.67,4.67
KE,6.13.15,PM,yes,yes,21.077667,-157.000767,3,0,156,6,0,2,13,1,59,0,0,0,0,0,0,2,1,3,1,0,0,0,0,0,0,0,0,0,8,748.6,402.46,0.650357062,127772.52,-29.945,1332.315,2.895,29.27,437,4,19.2,7.25,36.6
KE,6.13.15,PO,yes,no,21.077567,-157.00195,0,0,1576,1,0,6,4,0,43,0,0,0,0,0,0,14,0,20,0,0,0,0,0,0,0,0,0,0,8,748.6,402.46,0.650357062,127772.52,-29.945,1332.315,2.895,29.27,437,4,19.2,7.25,36.6
AL,6.13.15,PM,yes,yes,21.070133,-156.979733,2,0,1016,11,0,20,77,1,8,0,0,0,1,0,0,3,1,0,0,0,1,0,1,0,0,0,0,0,8,477.6,550.85,0.464388157,99417.14,-28.475,1318.065,3.075,36.31,2270,3,30.9,0.67,4.67
AL,6.13.15,PO,yes,no,21.0715,-156.981567,0,0,257,0,0,16,1,0,13,2,1,0,6,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,8,477.6,550.85,0.464388157,99417.14,-28.475,1318.065,3.075,36.31,2270,3,30.9,0.67,4.67
KAO,6.6.15,M,no,yes,21.06425,-156.819017,1,0,15,0,0,754,0,0,8,30,2,4,19,0,13,4,0,0,0,0,0,0,0,0,1,1,0,0,1,110.17,206.72,0.347660071,15010.34,-32.135,1466.415,1.755,27.99,2230,27,64.2,0.51,4.35
KAO,6.6.15,O,no,no,21.064783,-156.819017,0,0,4288,0,0,14848,2,79,35,981,133,0,29,4,11,18,1,0,0,0,16,3,0,0,0,0,0,0,1,110.17,206.72,0.347660071,15010.34,-32.135,1466.415,1.755,27.99,2230,27,64.2,0.51,4.35
KAM,6.8.15,M,no,yes,21.046883,-156.876133,0,2,1034,0,0,14,1,185,490,16,2,5,120,0,77,368,0,16,1,0,5,0,0,0,1,3,0,0,3,143.82,116.87,0.551689746,20612.39,-29.335,1510.495,3.77,27.285,4920,32.47040498,53.9,0.209179982,1.367430409
KAM,6.8.15,O,no,no,21.046867,-156.875183,0,0,122,1,0,28,0,2,10,6,16,4,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,143.82,116.87,0.551689746,20612.39,-29.335,1510.495,3.77,27.285,4920,32.47040498,53.9,0.209179982,1.367430409
MA,6.10.15,M,no,yes,21.054622,-156.838582,4,0,888,39,0,2328,8,2024,39,18,8,0,267,0,6,85,20,1,1,0,4,0,0,0,0,1,0,0,5,143.81,131.79,0.521806967,17552.68,-27.73,1417.9,1.55,37.27,4600,48,69.8,0.41,3.34
MA,6.10.15,O,no,no,21.054717,-156.839417,0,7,2900,9,0,680,5,796,34,34,0,0,41,0,6,190,200,0,0,0,0,0,0,0,0,0,0,0,5,143.81,131.79,0.521806967,17552.68,-27.73,1417.9,1.55,37.27,4600,48,69.8,0.41,3.34
