taxonname,replicateid,count,time,latitude,longitude,region_name,island,site,reef_zone,depth_bin,sitevisitid,date_,obs_year,rep,depth,hard_coral,soft_coral,ma,cca,ta,sand,tunicate,zoanthid,corallimorph,clam,cyano,sponge,other,other_type,habitat_code,habitat_type,current_strength,visibility,max_height,urchin_dacor,boring_urchin_dacor,min_depth,max_depth,objectid,species,commonname,commonfamilyall,family,scientific_name,rank,trophic
Ctenochaetus strigosus,1845958546,0,2013-08-03T00:00:00Z,20.26759828,-155.8473238,Main Hawaiian Islands,Hawaii,HAW-407,Forereef,Mid,5933,2013-08-03T00:00:00Z,2013,A,15,5,0,10,1,44,40,0,0,0,0,0,0,NA,NA,ROB,Rock/Boulder,None,15,1.5,R,R,14.8,15.5,NA,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,NA,H
Ctenochaetus strigosus,1845958547,0,2013-08-03T00:00:00Z,20.19613224,-155.7117529,Main Hawaiian Islands,Hawaii,HAW-431,Forereef,Mid,5930,2013-08-03T00:00:00Z,2013,A,12,5,0,23,2,40,30,0,0,0,0,0,0,NA,NA,ROB,Rock/Boulder,None,12,1.2,R,R,11.3,13.5,NA,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,NA,H
Ctenochaetus strigosus,1845958548,0,2013-08-03T00:00:00Z,20.25749448,-155.8038442,Main Hawaiian Islands,Hawaii,HAW-395,Forereef,Deep,5932,2013-08-03T00:00:00Z,2013,A,26,5,0,2,3,60,30,0,0,0,0,0,0,NA,NA,ROB,Rock/Boulder,None,14,1.4,R,R,25.5,27,NA,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,NA,H
Ctenochaetus strigosus,1845958549,0,2013-08-03T00:00:00Z,20.19749522,-155.7091345,Main Hawaiian Islands,Hawaii,HAW-397,Forereef,Deep,5929,2013-08-03T00:00:00Z,2013,A,22,5,0,0,5,60,30,0,0,0,0,0,0,NA,NA,ROB,Rock/Boulder,None,16,2,R,R,21.6,22.6,NA,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,NA,H
Ctenochaetus strigosus,1845958550,0,2013-08-03T00:00:00Z,20.25749448,-155.8038442,Main Hawaiian Islands,Hawaii,HAW-395,Forereef,Deep,5932,2013-08-03T00:00:00Z,2013,A,22,8,0,0,2,82,8,0,0,0,0,0,0,NA,NA,ROB,Rock/Boulder,None,18,2.5,R,R,24,24,NA,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,NA,H
Ctenochaetus strigosus,1845958551,0,2013-08-04T00:00:00Z,19.15302216,-155.9155067,Main Hawaiian Islands,Hawaii,HAW-487,Forereef,Shallow,5951,2013-08-04T00:00:00Z,2013,A,5,5,0,0,5,88,2,0,0,0,0,0,0,NA,NA,MIX,Mixed Habitats,None,15,1.7,O,C,4,6.1,NA,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,NA,H
Ctenochaetus strigosus,1845958552,14,2013-08-04T00:00:00Z,19.12053332,-155.9201934,Main Hawaiian Islands,Hawaii,HAW-765,Forereef,Deep,5949,2013-08-04T00:00:00Z,2013,A,27,35,0,5,5,45,5,0,0,0,0,5,0,NA,NA,AGR,Aggregate Reef,Moderate,25,2,O,R,23.8,28,1945565,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,Species,H
Ctenochaetus strigosus,1845958553,8,2013-08-04T00:00:00Z,19.12053332,-155.9201934,Main Hawaiian Islands,Hawaii,HAW-765,Forereef,Deep,5949,2013-08-04T00:00:00Z,2013,A,27,50,0,20,5,20,5,0,0,0,0,0,0,NA,NA,AGR,Aggregate Reef,Moderate,25,1.5,R,R,25.8,28.8,1945586,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,Species,H
Ctenochaetus strigosus,1845958554,10,2013-08-04T00:00:00Z,19.13674979,-155.9190188,Main Hawaiian Islands,Hawaii,HAW-506,Forereef,Mid,5950,2013-08-04T00:00:00Z,2013,A,18,65,0,0,10,25,0,0,0,0,0,0,0,NA,NA,AGR,Aggregate Reef,Slight,20,1,A,R,18,18,1945619,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,Species,H
Ctenochaetus strigosus,1845958555,0,2013-08-04T00:00:00Z,19.15302216,-155.9155067,Main Hawaiian Islands,Hawaii,HAW-487,Forereef,Shallow,5951,2013-08-04T00:00:00Z,2013,A,4,25,0,20,25,25,5,0,0,0,0,0,0,NA,NA,MIX,Mixed Habitats,None,20,3.5,C,C,4.2,5.5,NA,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,NA,H
Ctenochaetus strigosus,1845958557,20,2013-08-04T00:00:00Z,19.13674979,-155.9190188,Main Hawaiian Islands,Hawaii,HAW-506,Forereef,Mid,5950,2013-08-04T00:00:00Z,2013,A,18,80,0,0,15,4,1,0,0,0,0,0,0,NA,NA,AGR,Aggregate Reef,Slight,20,1,A,R,17.6,18.2,1945733,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,Species,H
Ctenochaetus strigosus,1845958558,1,2013-08-05T00:00:00Z,19.8325335,-155.0803804,Main Hawaiian Islands,Hawaii,HAW-631,Forereef,Deep,5958,2013-08-05T00:00:00Z,2013,A,23,5,0,5,0,75,15,0,0,0,0,0,0,NA,NA,ROB,Rock/Boulder,None,15,1.5,R,R,22.7,24.5,1945760,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,Species,H
Ctenochaetus strigosus,1845958559,2,2013-08-05T00:00:00Z,19.74481596,-155.0538582,Main Hawaiian Islands,Hawaii,HAW-643,Forereef,Mid,5959,2013-08-05T00:00:00Z,2013,A,11,45,0,5,5,45,0,0,0,0,0,0,0,NA,NA,SAG,Spur and Groove,None,15,1.2,O,R,10.9,11.8,1945818,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,Species,H
Ctenochaetus strigosus,1845958560,2,2013-08-05T00:00:00Z,19.7366633,-155.0156763,Main Hawaiian Islands,Hawaii,HAW-748,Forereef,Shallow,5960,2013-08-05T00:00:00Z,2013,A,3,5,0,5,5,85,0,0,0,0,0,0,0,NA,NA,PSC,Pavement with Sand Channels,None,15,3,O,O,2.4,4.8,1945824,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,Species,H
Ctenochaetus strigosus,1845958561,55,2013-08-05T00:00:00Z,19.74557402,-155.0255332,Main Hawaiian Islands,Hawaii,HAW-629,Forereef,Deep,5961,2013-08-05T00:00:00Z,2013,A,23,25,0,20,15,40,0,0,0,0,0,0,0,NA,NA,AGR,Aggregate Reef,None,15,1,O,R,23,23.9,1945863,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,Species,H
Ctenochaetus strigosus,1845958562,0,2013-08-05T00:00:00Z,19.7366633,-155.0156763,Main Hawaiian Islands,Hawaii,HAW-748,Forereef,Shallow,5960,2013-08-05T00:00:00Z,2013,A,3,5,0,0,5,90,0,0,0,0,0,0,0,NA,NA,PSC,Pavement with Sand Channels,None,12,3,O,O,3,5.8,NA,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,NA,H
Ctenochaetus strigosus,1845958563,38,2013-08-05T00:00:00Z,19.74557402,-155.0255332,Main Hawaiian Islands,Hawaii,HAW-629,Forereef,Deep,5961,2013-08-05T00:00:00Z,2013,A,22,30,0,15,10,45,0,0,0,0,0,0,0,NA,NA,AGR,Aggregate Reef,None,10,0.5,R,R,22.3,22.9,1945979,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,Species,H
Ctenochaetus strigosus,1845958564,4,2013-08-05T00:00:00Z,19.8325335,-155.0803804,Main Hawaiian Islands,Hawaii,HAW-631,Forereef,Deep,5958,2013-08-05T00:00:00Z,2013,A,23,5,0,0,5,88,2,0,0,0,0,0,0,NA,NA,ROB,Rock/Boulder,None,15,1.7,R,R,22.3,23.2,1946001,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,Species,H
Ctenochaetus strigosus,1845958565,8,2013-08-05T00:00:00Z,19.74481596,-155.0538582,Main Hawaiian Islands,Hawaii,HAW-643,Forereef,Mid,5959,2013-08-05T00:00:00Z,2013,A,11,30,0,2,5,63,0,0,0,0,0,0,0,NA,NA,SAG,Spur and Groove,None,12,1.5,O,R,10.7,11.9,1946035,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,Species,H
Ctenochaetus strigosus,1845958566,0,2013-08-05T00:00:00Z,19.77316163,-155.0877632,Main Hawaiian Islands,Hawaii,HAW-664,Forereef,Shallow,5965,2013-08-05T00:00:00Z,2013,A,4,20,0,0,20,55,0,0,5,0,0,0,0,NA,NA,ROB,Rock/Boulder,Slight,9,1.4,O,R,4,4.7,NA,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,NA,H
Ctenochaetus strigosus,1845958567,4,2013-08-05T00:00:00Z,19.74418798,-155.0468021,Main Hawaiian Islands,Hawaii,HAW-632,Forereef,Deep,5964,2013-08-05T00:00:00Z,2013,A,22,65,0,0,10,25,0,0,0,0,0,0,0,NA,NA,AGR,Aggregate Reef,Slight,11,0.7,O,R,22.5,23,1946108,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,Species,H
Ctenochaetus strigosus,1845958568,16,2013-08-05T00:00:00Z,19.74418798,-155.0468021,Main Hawaiian Islands,Hawaii,HAW-632,Forereef,Deep,5964,2013-08-05T00:00:00Z,2013,A,22,75,0,0,15,10,0,0,0,0,0,0,0,NA,NA,AGR,Aggregate Reef,Slight,15,0.4,O,R,22.7,22.7,1946137,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,Species,H
Ctenochaetus strigosus,1845958569,10,2013-08-05T00:00:00Z,19.74691001,-155.0579811,Main Hawaiian Islands,Hawaii,HAW-640,Forereef,Mid,5962,2013-08-05T00:00:00Z,2013,A,11,40,0,15,15,30,0,0,0,0,0,0,0,NA,NA,AGR,Aggregate Reef,None,15,1,R,R,12,12,1946170,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,Species,H
Ctenochaetus strigosus,1845958570,5,2013-08-05T00:00:00Z,19.74691001,-155.0579811,Main Hawaiian Islands,Hawaii,HAW-640,Forereef,Mid,5962,2013-08-05T00:00:00Z,2013,A,11,30,0,20,30,20,0,0,0,0,0,0,0,NA,NA,AGR,Aggregate Reef,None,15,1,R,R,10.9,11.5,1946211,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,Species,H
Ctenochaetus strigosus,1845958571,0,2013-08-05T00:00:00Z,19.66451297,-154.9748457,Main Hawaiian Islands,Hawaii,HAW-649,Forereef,Mid,5963,2013-08-05T00:00:00Z,2013,A,12,15,0,8,8,67,2,0,0,0,0,0,0,NA,NA,AGR,Aggregate Reef,None,17,0.8,R,R,12,12,NA,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,NA,H
Ctenochaetus strigosus,1845958572,2,2013-08-05T00:00:00Z,19.66451297,-154.9748457,Main Hawaiian Islands,Hawaii,HAW-649,Forereef,Mid,5963,2013-08-05T00:00:00Z,2013,A,12,25,0,10,25,35,5,0,0,0,0,0,0,NA,NA,AGR,Aggregate Reef,None,22,0.6,O,A,12.1,12.7,1946269,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,Species,H
Ctenochaetus strigosus,1845958573,0,2013-08-05T00:00:00Z,19.77316163,-155.0877632,Main Hawaiian Islands,Hawaii,HAW-664,Forereef,Shallow,5965,2013-08-05T00:00:00Z,2013,A,5,10,0,3,8,76,0,0,3,0,0,0,0,NA,NA,ROB,Rock/Boulder,None,15,2,R,R,5,6.3,NA,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,NA,H
Ctenochaetus strigosus,1845958574,0,2013-08-06T00:00:00Z,19.39415543,-154.9258347,Main Hawaiian Islands,Hawaii,HAW-662,Forereef,Shallow,5974,2013-08-06T00:00:00Z,2013,A,6,10,0,0,5,80,5,0,0,0,0,0,0,NA,NA,PSC,Pavement with Sand Channels,None,10,2,A,R,5.5,6.7,NA,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,NA,H
Ctenochaetus strigosus,1845958575,0,2013-08-06T00:00:00Z,19.46009243,-154.8347954,Main Hawaiian Islands,Hawaii,HAW-642,Forereef,Mid,5970,2013-08-06T00:00:00Z,2013,A,14,5,0,0,8,85,2,0,0,0,0,0,0,NA,NA,ROB,Rock/Boulder,Moderate,15,3,R,R,13.4,15.2,NA,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,NA,H
Ctenochaetus strigosus,1845958576,3,2013-08-06T00:00:00Z,19.44146164,-154.8574018,Main Hawaiian Islands,Hawaii,HAW-625,Forereef,Deep,5971,2013-08-06T00:00:00Z,2013,A,21,5,0,0,5,88,2,0,0,0,0,0,0,NA,NA,RRB,Reef Rubble,None,15,1.5,R,R,18.3,24.4,1946448,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,Species,H
Ctenochaetus strigosus,1845958577,0,2013-08-06T00:00:00Z,19.40856803,-154.9009287,Main Hawaiian Islands,Hawaii,HAW-648,Forereef,Mid,5972,2013-08-06T00:00:00Z,2013,A,11,10,0,0,5,49,35,0,1,0,0,0,0,NA,NA,PSC,Pavement with Sand Channels,None,12,1.2,R,R,9.4,11.6,NA,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,NA,H
Ctenochaetus strigosus,1845958578,2,2013-08-06T00:00:00Z,19.38144528,-154.935782,Main Hawaiian Islands,Hawaii,HAW-754,Forereef,Mid,5973,2013-08-06T00:00:00Z,2013,A,14,10,0,0,5,75,5,0,5,0,0,0,0,NA,NA,ROB,Rock/Boulder,None,10,2.5,R,R,12.2,14.9,1946559,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,Species,H
Ctenochaetus strigosus,1845958579,0,2013-08-06T00:00:00Z,19.4231828,-154.8839146,Main Hawaiian Islands,Hawaii,HAW-663,Forereef,Shallow,5978,2013-08-06T00:00:00Z,2013,A,5,25,0,5,5,60,0,0,5,0,0,0,0,NA,NA,ROB,Rock/Boulder,None,10,1.7,A,C,5.5,5.9,NA,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,NA,H
Ctenochaetus strigosus,1845958580,5,2013-08-06T00:00:00Z,19.37339933,-154.9464032,Main Hawaiian Islands,Hawaii,HAW-755,Forereef,Mid,5980,2013-08-06T00:00:00Z,2013,A,12,20,0,2,13,48,15,0,2,0,0,0,0,NA,NA,ROB,Rock/Boulder,None,12,2,O,R,11.8,12.3,1946612,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,Species,H
Ctenochaetus strigosus,1845958581,1,2013-08-06T00:00:00Z,19.46009243,-154.8347954,Main Hawaiian Islands,Hawaii,HAW-642,Forereef,Mid,5970,2013-08-06T00:00:00Z,2013,A,14,20,0,5,30,40,5,0,0,0,0,0,0,NA,NA,ROB,Rock/Boulder,Moderate,15,2.5,O,R,14.2,15.2,1946666,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,Species,H
Ctenochaetus strigosus,1845958582,5,2013-08-06T00:00:00Z,19.37339933,-154.9464032,Main Hawaiian Islands,Hawaii,HAW-755,Forereef,Mid,5980,2013-08-06T00:00:00Z,2013,A,12,10,0,0,2,83,5,0,0,0,0,0,0,NA,NA,ROB,Rock/Boulder,None,10,2,R,R,10.3,12.1,1946734,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,Species,H
Ctenochaetus strigosus,1845958583,23,2013-08-06T00:00:00Z,19.44146164,-154.8574018,Main Hawaiian Islands,Hawaii,HAW-625,Forereef,Deep,5971,2013-08-06T00:00:00Z,2013,A,21,10,0,25,30,30,5,0,0,0,0,0,0,NA,NA,RRB,Reef Rubble,Slight,20,0.5,R,R,20,25.5,1946748,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,Species,H
Ctenochaetus strigosus,1845958584,2,2013-08-06T00:00:00Z,19.36723553,-154.9548368,Main Hawaiian Islands,Hawaii,HAW-757,Forereef,Mid,5979,2013-08-06T00:00:00Z,2013,A,11,15,0,5,0,70,10,0,0,0,0,0,0,NA,NA,ROB,Rock/Boulder,Moderate,12,1,R,R,10.9,12.1,1946801,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,Species,H
Ctenochaetus strigosus,1845958585,0,2013-08-06T00:00:00Z,19.40856803,-154.9009287,Main Hawaiian Islands,Hawaii,HAW-648,Forereef,Mid,5972,2013-08-06T00:00:00Z,2013,A,11,25,0,10,10,30,25,0,0,0,0,0,0,NA,NA,PSC,Pavement with Sand Channels,Slight,20,3,O,R,10,13,NA,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,NA,H
Ctenochaetus strigosus,1845958586,4,2013-08-06T00:00:00Z,19.38144528,-154.935782,Main Hawaiian Islands,Hawaii,HAW-754,Forereef,Mid,5973,2013-08-06T00:00:00Z,2013,A,14,30,0,10,5,45,5,0,5,0,0,0,0,NA,NA,ROB,Rock/Boulder,None,15,0.6,R,R,11.2,15.2,1946912,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,Species,H
Ctenochaetus strigosus,1845958587,6,2013-08-06T00:00:00Z,19.49032243,-154.8146333,Main Hawaiian Islands,Hawaii,HAW-759,Forereef,Deep,5975,2013-08-06T00:00:00Z,2013,A,23,30,0,0,5,65,0,0,0,0,0,0,0,NA,NA,AGR,Aggregate Reef,Slight,23,1.4,R,R,23,23.8,1946939,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,Species,H
Ctenochaetus strigosus,1845958588,64,2013-08-06T00:00:00Z,19.4433614,-154.8556298,Main Hawaiian Islands,Hawaii,HAW-750,Forereef,Mid,5976,2013-08-06T00:00:00Z,2013,A,14,15,0,0,5,77,0,0,3,0,0,0,0,NA,NA,ROB,Rock/Boulder,None,17,2.2,O,R,12.1,16.7,1946985,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,Species,H
